panel,check,status,score_pct,stars,detail,what_to_do,evidence
"Usuarios finales","Objetivo alcanzado","Bien","100","5","El 100% de 16 compradores sintéticos alcanzó el objetivo.","Empieza por la principal fricción de la pestaña Usuarios finales.","current-p-001:e0 | current-p-002:e0 | current-p-003:e0"
"Usuarios finales","El precio se encuentra","Bien","100","5","El 100% vio un precio.","Pon los precios en el menú y junto al botón principal.",""
"Usuarios finales","Forma clara de empezar","Bien","100","5","El 100% encontró cómo empezar.","Usa un único botón principal explícito en la primera pantalla.",""
"Usuarios finales","Sin errores del navegador","Bien","100","5","El 0% de los recorridos tuvo un error de JavaScript o de red.","Corrige los errores listados en Ingeniería, en la pestaña Usuarios finales.",""
"Usuarios finales","Poca fricción","Bien","100","5","0.00 eventos de fricción por comprador.","Elimina bucles, pop-ups y rechazos de formularios.",""
"Usuarios finales","Camino corto hasta el objetivo","Bien","100","5","Mediana de 1 pasos hasta el objetivo.","Quita páginas y campos entre la llegada y el primer valor.",""
"Desarrolladores","README que explica y guía","Bien","100","5","14 encabezados; se revisan título, instalación/inicio rápido, uso y una captura.","Añade una sección de inicio rápido con los comandos exactos y una captura del resultado.","README.md:1"
"Desarrolladores","Los comandos de inicio rápido funcionan","Bien","100","5","18 comandos de shell en el README; 0 apuntan a scripts npm que no existen.","Haz que cada comando del README corresponda a un script real, en el orden en que se ejecutan.","README.md:21 | README.md:22 | README.md:23"
"Desarrolladores","Los requisitos están indicados","Bien","100","5","Versión declarada en package.json: >=22.12. Se revisan el README y .nvmrc.","Indica la versión en el README, en engines de package.json y en .nvmrc.","README.md:26 | package.json"
"Desarrolladores","El CI ejecuta los tests","Bien","100","5","2 workflows; se comprueba que alguno ejecute los tests.","Añade un workflow de CI que instale y ejecute los tests en cada push.",".github/workflows/ci.yml:32"
"Desarrolladores","Hay tests automáticos","Bien","100","5","11 archivos de test.","Cubre el camino principal con tests automáticos antes de invitar a colaborar.","tests/fixtures/fake-engine.mjs | tests/helpers.ts | tests/integration/cli-mcp.test.ts | tests/integration/guarantees.test.ts | tests/integration/journeys.test.ts"
"Desarrolladores","Documentación para colaborar","Bien","100","5","4 de CONTRIBUTING, CHANGELOG, SECURITY y CODE_OF_CONDUCT.","Añade CONTRIBUTING, SECURITY y un CHANGELOG.","CONTRIBUTING.md | CHANGELOG.md | SECURITY.md | CODE_OF_CONDUCT.md"
"Desarrolladores","Licencia clara","Bien","100","5","Licencia detectada: Apache License.","Añade una licencia estándar (Apache-2.0 o MIT para la adopción).","LICENSE:1"
"Desarrolladores","Herramientas de calidad","Bien","100","5","3 configuraciones (tipos, lint, formato) y carpeta de ejemplos.","Activa tipos estrictos, un linter y un formateador, e incluye ejemplos.","tsconfig.json | eslint.config.js | .prettierrc.json"
"Desarrolladores","La instalación limpia funciona","Bien","100","5","Instalado desde cero en una copia desechable en 18 s.","Haz que una instalación limpia funcione solo con el lockfile (npm ci).","npm ci --no-audit --no-fund"
"Desarrolladores","La compilación funciona","Bien","100","5","Compilado en 7 s.","Arregla la compilación para que funcione en una máquina limpia.","npm run build"
"Desarrolladores","Tiempo hasta el primer éxito","Bien","100","5","Primer comando del README tras instalar: npm run demo (25 s).","Ofrece un comando que muestre un resultado real en menos de un minuto.","npm run demo"
"Inversores","Problema y promesa claros","Bien","100","5","Se revisó la primera pantalla del README: promesa en una línea y un «por qué».","Abre el README con una frase de valor y una sección breve de «Por qué».","README.md:1"
"Inversores","Diferenciación explícita","Bien","85","4.5","Se buscó una comparación con las alternativas.","Añade una tabla «frente a las alternativas» con lo que solo haces tú.","README.md:35 | README.md:69 | README.md:74"
"Inversores","Demo y prueba visual","Bien","100","5","Demo de un comando, capturas y primer éxito medido (25 s).","Muestra una demo de un comando y una captura o GIF en la primera pantalla.","README.md:23 | README.md:90 | README.md:28 | README.md:31 | README.md:32"
"Inversores","Modelo de negocio articulado","Bien","100","5","4 de 4 señales: precios, oferta alojada, funciones empresariales y estrategia escrita.","Escribe quién paga, por qué y cómo la parte gratuita lleva hasta ahí.","LICENSE_STRATEGY.md | src/providers/pricing.ts | LICENSE_STRATEGY.md:4 | LICENSE_STRATEGY.md:10 | LICENSE_STRATEGY.md:11 | LICENSE_STRATEGY.md:19 | LICENSE_STRATEGY.md:4 | LICENSE_STRATEGY.md:10"
